"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Sanzeno","0",22169,926.5,-3,"3","1",NA,"1",41,0.2059,0.528888888888889,0.205111111111111,0.248,0.4721,0.390111111111111,0.0181111111111111,0.327222222222222,0.1457,0.957222222222222,NA
"Sarnonico","0",22170,778.5,57,"4","0",NA,"1",30,0.223727272727273,0.533,0.222333333333333,0.289,0.392,0.279111111111111,0.0321111111111111,0.242333333333333,0.137636363636364,0.826444444444444,NA
"Scurelle","0",22171,1410.5,17,"3","1",NA,"1",50,NA,0.376222222222222,0.266111111111111,0.340444444444444,0.287727272727273,0.320777777777778,0.0341111111111111,0.244111111111111,0.0499090909090909,1.472,NA
"Segonzano","0",22172,1490.5,-75,"4","1",NA,"1",57,0.176111111111111,0.436125,0.2675,NA,0.482777777777778,0.46975,0.009125,0.355375,0.126444444444444,1.41725,NA
"Sfruz","0",22173,352,44,"SPECIALIZZAZIONE POST 4 / DOTTORATO DI RICERCA","1",NA,"1",33,0.2321,0.432333333333333,0.229888888888889,0.331555555555556,0.3872,0.391111111111111,0,0.366888888888889,0.0261,1.20033333333333,NA
"Sover","0",22177,854,-52,"2","1",NA,"1",63,0.145333333333333,0.51675,0.262875,0.243375,0.394333333333333,0.39,0.014875,0.356125,0.0485555555555556,1.701875,NA
"Spiazzo","0",22179,1282.5,-41,"4","1","Lista Civica non pervenuta","1",65,0.310909090909091,0.522666666666667,0.163,0.269333333333333,0.353090909090909,0.254111111111111,0.0297777777777778,0.219333333333333,0.135909090909091,1.09611111111111,NA
"Spormaggiore","0",22180,1258.5,7,"3","1","Lista Civica non pervenuta","1",43,0.220111111111111,0.415857142857143,0.179714285714286,0.262142857142857,0.368888888888889,0.387285714285714,0.0347142857142857,0.316285714285714,0.0518888888888889,1.51,NA
"Sporminore","0",22181,711,-6,"3","1",NA,"1",41,0.1142,0.63175,0.1815,0.207,0.417,0.38175,0.04875,0.355,0.0722,0.7255,NA
"Stenico","0",22182,1158,42,"4","0",NA,"1",46,0.3231,0.425111111111111,0.140888888888889,0.299,0.3773,0.368555555555556,0.0183333333333333,0.298555555555556,0.0885,0.883777777777778,NA
"Storo","0",22183,4620,-72,"4","1","Colore Politico non pervenuto | Lista Civica non pervenuta","1",36,0.237545454545455,NA,0.174111111111111,0.216222222222222,NA,0.442888888888889,0.0144444444444444,0.354555555555556,0.168454545454545,0.973666666666667,NA
"Strembo","0",22184,547.5,31,"2","1",NA,"1",64,0.292909090909091,0.314333333333333,0.322777777777778,0.407555555555556,0.419090909090909,0.404555555555556,0.00277777777777778,0.347666666666667,0.0861818181818182,0.900666666666667,NA
"Telve","0",22188,1977,-18,"4","1",NA,"1",40,0.210181818181818,0.452222222222222,0.179777777777778,0.238111111111111,0.594363636363636,0.405111111111111,0.074,0.357222222222222,0.228181818181818,0.727444444444444,NA
"Telve di sopra","0",22189,606,-14,"2","1",NA,"1",53,0.148,0.543888888888889,0.204666666666667,0.241888888888889,0.366909090909091,0.340333333333333,0.0196666666666667,0.277,0.0871818181818182,1.24088888888889,NA
"Tenna","0",22190,985.5,59,"3","1",NA,"1",43,0.2642,0.535444444444445,0.138777777777778,0.278222222222222,0.396,0.419666666666667,0,NA,6e-04,1.28277777777778,NA
"Tenno","0",22191,1992.5,33,"3","1","Lista Civica non pervenuta","1",45,0.304363636363636,0.501444444444444,0.157555555555556,0.273444444444444,0.392727272727273,0.320666666666667,0.0208888888888889,0.244444444444444,0.153272727272727,1.12233333333333,NA
